plot,typeKey,typeShort,typeCode,typeFull,deed,houseNo,area,areaAdd,priceStart,priceDiff,priceNet,apprSCB,status,note
แปลง,ไทป์,ชื่อไทป์,รหัสไทป์,ไทป์เต็ม,เลขโฉนด,บ้านเลขที่,เนื้อที่(ตร.ว.),เนื้อที่เพิ่ม,ราคาตั้งต้น,ราคาส่วนเพิ่ม,ราคาขายสุทธิ,ราคาประเมินSCB,สถานะการขาย,หมายเหตุ
49,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247103,89/49,60.6,10.600000000000001,2850000,418000.00000000006,3268000,3959600,ว่าง,
50,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247104,89/50,56.8,6.799999999999997,2850000,303999.9999999999,3154000,3851300,ว่าง,
51,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247105,89/51,59.9,9.899999999999999,2850000,396999.99999999994,3247000,3939650,ว่าง,
52,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247106,89/52,50.3,0.29999999999999716,2850000,108999.99999999991,2959000,3666050,ว่าง,
53,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247107,89/53,53.4,3.3999999999999986,2850000,201999.99999999994,3052000,3754400,ว่าง,
54,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247108,89/54,50.1,0.10000000000000142,2850000,103000.00000000004,2953000,3660350,ว่าง,
55,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247109,89/55,51.3,1.2999999999999972,2850000,138999.9999999999,2989000,3694550,ว่าง,
56,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247110,89/56,50.2,0.20000000000000284,2850000,106000.00000000009,2956000,3663200,ว่าง,
57,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247111,89/57,53.3,3.299999999999997,2850000,198999.9999999999,3049000,3751550,ว่าง,
58,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247112,89/58,52.4,2.3999999999999986,2850000,171999.99999999994,3022000,3725900,ว่าง,
59,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247113,89/59,55.5,5.5,2850000,265000,3115000,3814250,สัญญา,
60,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247114,89/60,60.2,10.200000000000003,2850000,406000.00000000006,3256000,3948200,สัญญา,
61,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247115,89/61,63.3,13.299999999999997,2850000,498999.99999999994,3349000,4036550,สัญญา,
62,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247116,89/62,74.5,39.5,2390000,1285000,3675000,4345750,ว่าง,
63,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247117,89/63,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
64,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247118,89/64,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
65,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247119,89/65,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
66,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247120,89/66,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
67,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247121,89/67,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
68,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247122,89/68,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
69,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247123,89/69,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
70,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247124,89/70,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
71,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247125,89/71,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
72,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247126,89/72,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
73,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247127,89/73,51.9,16.9,2390000,607000,2997000,3701650,ว่าง,
74,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247128,89/74,52.1,17.1,2390000,613000,3003000,3707350,ว่าง,
75,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247129,89/75,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
76,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247130,89/76,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
77,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247131,89/77,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
78,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247132,89/78,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
79,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247133,89/79,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
80,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247134,89/80,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
81,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247135,89/81,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
82,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247136,89/82,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
83,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247137,89/83,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
84,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247138,89/84,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
85,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247139,89/85,46.4,11.399999999999999,2390000,441999.99999999994,2832000,3544900,ว่าง,
86,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247140,89/86,52.4,17.4,2390000,622000,3012000,3715900,ว่าง,
87,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247141,89/87,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
88,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247142,89/88,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
89,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247143,89/89,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
90,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247144,89/90,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
91,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247145,89/91,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
92,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247146,89/92,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
93,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247147,89/93,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
94,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247148,89/94,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
95,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247149,89/95,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
96,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247150,89/96,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
97,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247151,89/97,48.2,13.200000000000003,2390000,496000.00000000006,2886000,3596200,ว่าง,
98,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247152,89/98,47.7,12.700000000000003,2390000,481000.00000000006,2871000,3581950,ว่าง,
99,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247153,89/99,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
100,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247154,89/100,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
101,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247155,89/101,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
102,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247156,89/102,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
103,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247157,89/103,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
104,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247158,89/104,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
105,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247159,89/105,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
106,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247160,89/106,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
107,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247161,89/107,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
108,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247162,89/108,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
109,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247163,89/109,46.8,11.799999999999997,2390000,453999.99999999994,2844000,3556300,ว่าง,
110,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247164,89/110,48.9,13.899999999999999,2390000,516999.99999999994,2907000,3616150,ว่าง,
111,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247165,89/111,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
112,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247166,89/112,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
113,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247167,89/113,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
114,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247168,89/114,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
115,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247169,89/115,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
116,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247170,89/116,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
117,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247171,89/117,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
118,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247172,89/118,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
119,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247173,89/119,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
120,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247174,89/120,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
121,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247175,89/121,46.7,11.700000000000003,2390000,451000.00000000006,2841000,3553450,ว่าง,
122,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247176,89/122,48.5,13.5,2390000,505000,2895000,3604750,ว่าง,
123,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247177,89/123,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
124,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247178,89/124,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
125,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247179,89/125,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
126,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247180,89/126,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
127,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247181,89/127,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
128,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247182,89/128,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
129,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247183,89/129,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
130,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247184,89/130,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
131,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247185,89/131,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
132,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247186,89/132,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
133,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247187,89/133,45.9,10.899999999999999,2390000,426999.99999999994,2817000,3530650,ว่าง,
134,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247188,89/134,47.4,12.399999999999999,2390000,471999.99999999994,2862000,3573400,ว่าง,
135,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247189,89/135,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
136,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247190,89/136,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
137,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247191,89/137,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
138,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247192,89/138,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
139,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247193,89/139,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
140,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247194,89/140,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
141,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247195,89/141,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
142,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247196,89/142,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
143,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247197,89/143,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
144,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247198,89/144,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
145,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247199,89/145,43.5,8.5,2390000,355000,2745000,3462250,ว่าง,
146,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247200,89/146,54.4,34.4,2200000,1132000,3332000,3915400,ว่าง,
147,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247201,89/147,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
148,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247202,89/148,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
149,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247203,89/149,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
150,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247204,89/150,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
151,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247205,89/151,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
152,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247206,89/152,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
153,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247207,89/153,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
154,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247208,89/154,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
155,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247209,89/155,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
156,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247210,89/156,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,จอง,
157,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247211,89/157,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
158,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247212,89/158,34.2,14.200000000000003,2200000,526000,2726000,3339700,โอนแล้ว,27/03/1969
159,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247213,89/159,36.4,16.4,2200000,592000,2792000,3402400,ขายดาวน์,
160,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247214,89/160,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
161,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247215,89/161,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
162,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247216,89/162,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
163,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247217,89/163,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
164,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247218,89/164,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
165,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247219,89/165,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,สัญญา,
166,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247220,89/166,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,สัญญา,
167,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247221,89/167,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
168,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247222,89/168,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
169,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247223,89/169,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
170,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247224,89/170,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
171,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247225,89/171,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
172,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247226,89/172,32.8,12.799999999999997,2200000,483999.99999999994,2684000,3299800,สัญญา,
173,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247227,89/173,35.4,15.399999999999999,2200000,562000,2762000,3373900,ว่าง,
174,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247228,89/174,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
175,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247229,89/175,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
176,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247230,89/176,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
177,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247231,89/177,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
178,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247232,89/178,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
179,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247233,89/179,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
180,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247234,89/180,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
181,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247235,89/181,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
182,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247236,89/182,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
183,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247237,89/183,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
184,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247238,89/184,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
185,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247239,89/185,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
186,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247240,89/186,31,11,2200000,430000,2630000,3248500,ว่าง,
187,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247241,89/187,27,7,2200000,310000,2510000,3989500,ว่าง,
188,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247242,89/188,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
189,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247243,89/189,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
190,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247244,89/190,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
191,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247245,89/191,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
192,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247246,89/192,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
193,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247247,89/193,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
194,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247248,89/194,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
195,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247249,89/195,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
196,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247250,89/196,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
