plot,typeKey,typeShort,typeCode,typeFull,deed,houseNo,area,areaAdd,priceStart,priceDiff,priceNet,apprSCB,status,note
แปลง,ไทป์,ชื่อไทป์,รหัสไทป์,ไทป์เต็ม,เลขโฉนด,บ้านเลขที่,เนื้อที่(ตร.ว.),เนื้อที่เพิ่ม,ราคาตั้งต้น,ราคาส่วนเพิ่ม,ราคาขายสุทธิ,ราคาประเมินSCB,สถานะการขาย,หมายเหตุ
422,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247476,89/422,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
423,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247477,89/423,41.8,21.799999999999997,2200000,753999.9999999999,2954000,3556300,ว่าง,
424,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247478,89/424,42.8,22.799999999999997,2200000,783999.9999999999,2984000,3584800,ว่าง,
425,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247479,89/425,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
426,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247480,89/426,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
427,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247481,89/427,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
428,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247482,89/428,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
429,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247483,89/429,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
430,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247484,89/430,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
431,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247485,89/431,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
432,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247486,89/432,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
433,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247487,89/433,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
434,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247488,89/434,47.4,27.4,2200000,922000,3122000,3715900,ว่าง,
435,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247489,89/435,33,13,2200000,490000,2690000,3305500,ว่าง,
436,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247490,89/436,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
